SEXO,IDADE,REGIME,FACCAO,CARGO_FACCAO,UNIDADE
30,29,1646,,,250958
30,34,1647,,,138000
30,26,1647,,,639335
30,25,1647,,,112971
30,44,1647,,,820657
30,28,1647,,,250958
30,25,1646,,,190238
30,29,2402,,,190238
30,32,1647,,,657728
30,28,1647,,,212316
30,62,2403,,,975291
30,54,2403,,,591098
30,30,2402,,,495478
30,26,1646,,,883316
30,45,1646,,,994414
30,22,2403,,,250958
30,36,1647,,,250958
30,35,2401,,,746323
30,28,1647,,,559396
30,40,2403,,,591098
30,20,1647,,,495478
30,26,1647,,,639335
30,40,1647,,,250958
30,31,1647,,,250958
30,30,2402,,,250958
30,31,1646,,,950252
30,29,1646,,,591098
30,23,2401,,,112971
30,23,1647,,,960097
30,34,1647,,,559396
30,28,2403,,,663771
30,22,1647,,,495478
30,37,1646,,,704971
30,29,2405,,,584662
30,23,1646,,,530032
30,41,1647,,,591098
31,44,1647,,,36233
30,50,1646,,,577141
30,22,1647,,,112971
30,44,1646,,,190238
30,22,1647,,,621558
30,31,1647,,,994418
30,29,1647,,,250958
30,39,1647,,,639335
30,38,1647,,,190238
30,26,1647,,,322353
30,26,2407,,,584662
30,26,1647,,,559396
30,24,2410,,,530032
30,36,2410,,,559396
30,55,1647,,,559396
30,37,1647,,,105693
30,66,2405,,,584662
30,26,2402,,,495478
30,31,1647,,,530032
31,27,1647,,,36233
30,58,1647,,,105693
30,29,1646,,,326340
30,27,1647,,,250958
30,39,1647,,,530032
30,24,2402,,,559396
30,30,1646,,,746323
30,24,2403,,,250958
30,24,1650,,,960097
30,45,1647,,,704971
30,39,1646,,,621558
30,42,1647,,,657728
30,43,1647,,,883316
30,28,1646,,,250958
30,39,1645,,,591098
30,26,1647,,,820657
30,34,1647,,,495478
30,25,1647,,,250958
30,33,1647,,,994418
30,38,2402,,,559396
30,22,2401,,,190238
30,36,1647,,,559396
30,23,1647,,,950426
30,45,2402,,,422666
30,39,1647,,,105693
30,25,2406,,,584662
30,28,1646,,,746323
30,35,1646,,,190238
30,41,1647,,,559396
30,20,1646,,,883316
30,22,2401,,,190238
30,29,1646,,,621558
30,26,2401,,,250958
30,50,1646,,,746323
30,27,1646,,,883316
30,27,1647,,,250958
30,22,1647,,,563930
30,35,1647,,,112971
30,25,1647,,,322353
30,41,2403,,,559396
30,,1647,,,212316
30,33,1646,,,577141
30,40,1646,,,820657
30,28,2403,,,704585
30,22,2403,,,495478
30,31,1647,,,250958
30,23,1647,,,250958
30,25,2403,,,563930
30,33,2402,,,994414
30,30,2402,,,559396
30,50,1646,,,577141
30,26,2402,,,190238
30,23,1646,,,883316
30,32,1647,,,559396
30,33,2402,,,495478
30,23,1646,,,883316
30,23,1647,,,495478
30,33,1647,,,639335
30,34,1647,,,621558
30,36,1647,,,591440
30,30,1647,,,250958
30,25,1647,,,105693
30,21,1647,,,322353
30,27,1647,,,746323
31,49,1647,,,36233
30,36,2402,,,105693
30,26,2402,,,591098
30,46,1647,,,746323
30,24,1647,,,559396
30,33,1647,,,994414
30,26,1647,,,559396
31,37,1647,,,36233
30,21,1647,,,559396
30,24,2403,,,839990
30,27,1647,,,657728
30,26,1647,,,559396
30,32,2401,,,925279
30,44,2405,,,584662
30,21,2403,,,816503
30,37,1647,,,960097
30,64,1647,,,663771
30,34,1647,,,138000
30,25,1647,,,250958
30,25,2402,,,250958
30,30,1646,,,746323
30,33,2403,,,559396
30,42,2401,,,591098
30,28,2403,,,190238
30,59,2403,,,322353
30,38,1647,,,250958
30,25,1647,,,746323
30,79,1647,,,105693
30,24,1647,,,746323
30,31,2401,,,105693
30,27,2401,,,495478
30,29,1647,,,190238
30,53,2402,,,105693
30,24,1647,,,190238
30,29,2405,,,584662
30,31,1647,,,962437
30,30,1647,,,994414
30,29,1646,,,960097
30,25,1647,,,495478
30,19,1646,,,639335
30,38,1646,,,950252
30,39,2406,,,584662
30,39,1647,,,994414
30,38,1647,,,657728
30,27,1647,,,322353
30,65,1647,,,839990
30,20,2403,,,960097
30,35,1647,,,746323
30,31,2402,,,190238
30,40,2403,,,322353
30,43,2402,,,105693
30,23,1647,,,657728
30,26,1647,,,559396
30,40,2403,,,839990
30,25,1647,,,746323
30,,1647,,,994418
30,46,1646,,,657728
30,22,1647,,,112971
30,25,1647,,,250958
30,25,1647,,,495478
30,29,2403,,,746323
30,33,1647,,,962437
30,28,1647,,,820657
30,39,1645,,,868277
30,36,1650,,,559396
30,51,1647,,,639335
30,22,2403,,,190238
30,23,1647,,,820657
30,20,1647,,,975291
31,20,1647,,,746323
30,23,2403,,,190238
30,23,1646,,,975291
30,49,1647,,,559396
30,28,2403,,,105693
30,28,1647,,,559396
30,41,1647,,,559396
30,39,1647,,,559396
30,42,1647,,,105693
30,53,1647,,,559396
30,30,1647,,,559396
30,32,1647,,,559396
30,36,1647,,,559396
30,25,2403,,,559396
30,32,2403,,,105693
30,36,1647,,,495478
30,,2403,,,105693
30,49,1647,,,250958
30,35,1647,,,105693
30,20,1650,,,591098
30,25,1647,,,657728
30,28,1647,,,820657
30,45,1646,,,577141
30,24,1647,,,559396
30,32,1646,,,657728
30,28,1646,,,250958
30,31,1647,,,591098
30,37,1646,,,577141
30,31,1646,,,591098
30,20,1646,,,212316
30,26,1650,,,820657
30,36,2402,,,704585
30,22,1646,,,746323
30,31,1647,,,190238
30,22,2403,,,212316
30,42,1647,,,212316
30,28,1646,,,112971
30,39,1647,,,112971
30,20,2401,,,975291
,,1647,,,563930
30,21,1647,,,975291
30,21,2403,,,975291
30,33,1646,,,975291
30,33,1647,,,112971
30,31,1646,,,447403
30,27,2403,,,563930
30,24,1650,,,994418
31,45,2405,,,584662
30,29,2403,,,559396
30,34,1650,,,621558
30,22,2410,,,960097
30,34,2401,,,190238
30,25,1647,,,559396
30,20,1650,,,584662
30,30,1647,,,112971
30,20,2403,,,212316
30,27,1646,,,414074
30,33,2402,,,250958
30,21,2403,,,495478
30,28,1646,,,559396
30,38,1647,,,105693
30,21,1646,,,746323
30,22,1647,,,639335
30,31,1647,,,591098
30,28,1645,,,868277
30,23,1646,,,868277
30,34,2406,,,584662
30,27,2403,,,559396
30,34,2402,,,559396
30,27,1647,,,639335
30,28,1647,,,563930
30,28,1647,,,190238
30,25,1647,,,639335
30,23,1647,,,639335
30,37,1647,,,591098
30,36,2402,,,960097
30,36,1646,,,960097
30,27,2401,,,326340
30,33,2410,,,960097
30,30,2403,,,960097
30,41,1647,,,558029
30,22,2403,,,105693
30,23,2403,,,495478
30,24,2401,,,105693
30,34,1647,,,960097
30,32,2407,,,584662
30,21,2403,,,960097
30,24,2407,,,584662
30,53,1647,,,925279
30,38,2402,,,704585
30,32,1646,,,960097
30,36,1647,,,138000
30,23,1647,,,112971
30,26,1646,,,326340
30,27,1646,,,975291
30,21,1647,,,657728
30,20,2403,,,657728
30,28,1647,,,591098
30,45,1646,,,975291
30,41,1647,,,994414
30,21,1647,,,112971
30,37,1647,,,138000
30,36,1646,,,326340
30,34,2402,,,190238
30,29,2403,,,250958
30,37,1646,,,591098
30,27,1647,,,112971
30,28,1647,,,559396
30,26,2401,,,250958
30,31,2403,,,663771
30,19,1646,,,657728
30,22,1647,,,657728
30,25,1647,,,250958
30,26,1647,,,746323
30,25,1647,,,746323
30,48,1647,,,495478
30,24,1646,,,577141
30,21,1646,,,883316
30,27,2401,,,591098
30,27,1647,,,198986
30,26,1646,,,591098
30,25,1646,,,212316
30,23,1646,,,950426
30,21,2403,,,105693
